nom;visiteurs;lat;lon
Musée du Louvre;10200000;48.860546; 2.337612
Centre Pompidou;3551544;48.860637;2.352224
Musée d'Orsay;3286224;48.859959;2.326570
Cité des Sciences et de l'Industrie ;2213192;48.895373;2.387874
Musée National d'Histoire Naturelle ;2036345;48.843347;2.363467
Arc de Triomphe;1698139;48.873763;2.295017
Sainte-Chapelle;1270380;48.855014;2.345255
Musée du Quai Branly;1216817;48.860854;2.297840
Musée de l'Armée;1208199;48.855754;2.312576
Petit Palais;1203810;48.866020;2.314590
Fondation Louis Vuitton;1143122;48.876437;2.263416
Grand Palais;1101943;48.866171;2.312761
Orangerie;1004287;48.863760;2.322651
Montparnasse;878685;48.842110;2.321951
Panthéon;859622;48.846204;2.346405
Aquarium;650000;48.862206;2.291000
Tour Eiffel;6207303;48.858321;2.294471
Sacré Cœur;10500000;48.886699;2.343100
Notre-Dame;13600000;48.852947;2.349912